Country,Date,cases
vietnam,13/2/2020,16
vietnam,14/2/2020,16
vietnam,15/2/2020,16
vietnam,16/2/2020,16
vietnam,17/2/2020,16
vietnam,18/2/2020,16
vietnam,19/2/2020,16
vietnam,20/2/2020,16
vietnam,21/2/2020,16
vietnam,22/2/2020,16
vietnam,23/2/2020,16
vietnam,24/2/2020,16
vietnam,25/2/2020,16
vietnam,26/2/2020,16
vietnam,27/2/2020,16
vietnam,28/2/2020,16
vietnam,29/2/2020,16
vietnam,1/3/2020,16
vietnam,2/3/2020,16
vietnam,3/3/2020,16
vietnam,4/3/2020,16
vietnam,5/3/2020,16
vietnam,6/3/2020,16
vietnam,7/3/2020,18
vietnam,8/3/2020,21
vietnam,9/3/2020,30
vietnam,10/3/2020,34
vietnam,11/3/2020,38
vietnam,12/3/2020,39
vietnam,13/3/2020,44
vietnam,14/3/2020,53
vietnam,15/3/2020,53
vietnam,16/3/2020,57
vietnam,17/3/2020,61
vietnam,18/3/2020,68
vietnam,19/3/2020,76
vietnam,20/3/2020,87
vietnam,21/3/2020,88
vietnam,22/3/2020,95
vietnam,23/3/2020,121
vietnam,24/3/2020,132
vietnam,25/3/2020,137
vietnam,26/3/2020,153
vietnam,27/3/2020,163
vietnam,28/3/2020,171
vietnam,29/3/2020,188
vietnam,30/3/2020,203
vietnam,31/3/2020,206
vietnam,1/4/2020,212
vietnam,2/4/2020,233
vietnam,3/4/2020,236
vietnam,4/4/2020,240
vietnam,5/4/2020,241
vietnam,6/4/2020,245
vietnam,7/4/2020,251
vietnam,8/4/2020,251
vietnam,9/4/2020,255
vietnam,10/4/2020,257
vietnam,11/4/2020,258
vietnam,12/4/2020,262
vietnam,13/4/2020,264
vietnam,14/4/2020,267
vietnam,15/4/2020,268
vietnam,16/4/2020,268
vietnam,17/4/2020,268
vietnam,18/4/2020,268
vietnam,19/4/2020,268
vietnam,20/4/2020,268
vietnam,21/4/2020,268
vietnam,22/4/2020,268
vietnam,23/4/2020,268
vietnam,24/4/2020,270
vietnam,25/4/2020,270
vietnam,26/4/2020,270
vietnam,27/4/2020,270
vietnam,28/4/2020,270
vietnam,29/4/2020,270
vietnam,30/4/2020,270
vietnam,1/5/2020,270
vietnam,2/5/2020,270
vietnam,3/5/2020,271
vietnam,4/5/2020,271
vietnam,5/5/2020,271
vietnam,6/5/2020,271
vietnam,7/5/2020,288
vietnam,8/5/2020,288
vietnam,9/5/2020,288
vietnam,10/5/2020,288
vietnam,11/5/2020,288
vietnam,12/5/2020,288
vietnam,13/5/2020,288
vietnam,14/5/2020,288
vietnam,15/5/2020,314
vietnam,16/5/2020,318
vietnam,17/5/2020,320
vietnam,18/5/2020,324
vietnam,19/5/2020,324
vietnam,20/5/2020,324
vietnam,21/5/2020,324
vietnam,22/5/2020,324
vietnam,23/5/2020,324
vietnam,24/5/2020,325
vietnam,25/5/2020,326
vietnam,26/5/2020,327
vietnam,27/5/2020,327
vietnam,28/5/2020,328
vietnam,29/5/2020,328
vietnam,30/5/2020,328
vietnam,31/5/2020,328
vietnam,1/6/2020,328
vietnam,2/6/2020,328
vietnam,3/6/2020,328
vietnam,4/6/2020,328
vietnam,5/6/2020,328
vietnam,6/6/2020,328
franc,13/2/2020,9
franc,14/2/2020,9
franc,15/2/2020,9
franc,16/2/2020,9
franc,17/2/2020,2
franc,18/2/2020,2
franc,19/2/2020,2
franc,20/2/2020,1
franc,21/2/2020,1
franc,22/2/2020,1
franc,23/2/2020,1
franc,24/2/2020,1
franc,25/2/2020,0
franc,26/2/2020,0
franc,27/2/2020,0
franc,28/2/2020,0
franc,29/2/2020,0
franc,1/3/2020,0
franc,2/3/2020,0
franc,3/3/2020,0
franc,4/3/2020,0
franc,5/3/2020,0
franc,6/3/2020,0
franc,7/3/2020,2
franc,8/3/2020,5
franc,9/3/2020,14
franc,10/3/2020,18
franc,11/3/2020,22
franc,12/3/2020,23
franc,13/3/2020,28
franc,14/3/2020,37
franc,15/3/2020,37
franc,16/3/2020,41
franc,17/3/2020,45
franc,18/3/2020,51
franc,19/3/2020,60
franc,20/3/2020,71
franc,21/3/2020,71
franc,22/3/2020,78
franc,23/3/2020,104
franc,24/3/2020,115
franc,25/3/2020,120
franc,26/3/2020,133
franc,27/3/2020,143
franc,28/3/2020,150
franc,29/3/2020,167
franc,30/3/2020,178
franc,31/3/2020,151
franc,1/4/2020,149
franc,2/4/2020,158
franc,3/4/2020,151
franc,4/4/2020,150
franc,5/4/2020,151
franc,6/4/2020,150
franc,7/4/2020,129
franc,8/4/2020,125
franc,9/4/2020,127
franc,10/4/2020,115
franc,11/4/2020,114
franc,12/4/2020,118
franc,13/4/2020,120
franc,14/4/2020,123
franc,15/4/2020,97
franc,16/4/2020,92
franc,17/4/2020,70
franc,18/4/2020,70
franc,19/4/2020,65
franc,20/4/2020,65
franc,21/4/2020,52
franc,22/4/2020,46
franc,23/4/2020,44
franc,24/4/2020,45
franc,25/4/2020,40
franc,26/4/2020,40
franc,27/4/2020,40
franc,28/4/2020,40
franc,29/4/2020,40
franc,30/4/2020,40
franc,1/5/2020,40
franc,2/5/2020,40
franc,3/5/2020,41
franc,4/5/2020,54
franc,5/5/2020,54
franc,6/5/2020,54
franc,7/5/2020,48
franc,8/5/2020,55
franc,9/5/2020,55
franc,10/5/2020,55
franc,11/5/2020,40
franc,12/5/2020,40
franc,13/5/2020,40
franc,14/5/2020,37
franc,15/5/2020,63
franc,16/5/2020,58
franc,17/5/2020,60
franc,18/5/2020,64
franc,19/5/2020,61
franc,20/5/2020,61
franc,21/5/2020,61
franc,22/5/2020,61
franc,23/5/2020,58
franc,24/5/2020,59
franc,25/5/2020,60
franc,26/5/2020,56
franc,27/5/2020,56
franc,28/5/2020,57
franc,29/5/2020,50
franc,30/5/2020,50
franc,31/5/2020,50
franc,1/6/2020,50
franc,2/6/2020,50
franc,3/6/2020,50
franc,4/6/2020,34
franc,5/6/2020,34
franc,6/6/2020,21
italy,13/2/2020,7
italy,14/2/2020,7
italy,15/2/2020,7
italy,16/2/2020,7
italy,17/2/2020,14
italy,18/2/2020,14
italy,19/2/2020,14
italy,20/2/2020,15
italy,21/2/2020,15
italy,22/2/2020,15
italy,23/2/2020,15
italy,24/2/2020,15
italy,25/2/2020,16
italy,26/2/2020,16
italy,27/2/2020,16
italy,28/2/2020,16
italy,29/2/2020,16
italy,1/3/2020,16
italy,2/3/2020,16
italy,3/3/2020,16
italy,4/3/2020,16
italy,5/3/2020,16
italy,6/3/2020,16
italy,7/3/2020,16
italy,8/3/2020,16
italy,9/3/2020,16
italy,10/3/2020,16
italy,11/3/2020,16
italy,12/3/2020,16
italy,13/3/2020,16
italy,14/3/2020,16
italy,15/3/2020,16
italy,16/3/2020,16
italy,17/3/2020,16
italy,18/3/2020,17
italy,19/3/2020,16
italy,20/3/2020,16
italy,21/3/2020,17
italy,22/3/2020,17
italy,23/3/2020,17
italy,24/3/2020,17
italy,25/3/2020,17
italy,26/3/2020,20
italy,27/3/2020,20
italy,28/3/2020,21
italy,29/3/2020,21
italy,30/3/2020,25
italy,31/3/2020,55
italy,1/4/2020,63
italy,2/4/2020,75
italy,3/4/2020,85
italy,4/4/2020,90
italy,5/4/2020,90
italy,6/4/2020,95
italy,7/4/2020,122
italy,8/4/2020,126
italy,9/4/2020,128
italy,10/4/2020,142
italy,11/4/2020,144
italy,12/4/2020,144
italy,13/4/2020,144
italy,14/4/2020,144
italy,15/4/2020,171
italy,16/4/2020,176
italy,17/4/2020,198
italy,18/4/2020,198
italy,19/4/2020,203
italy,20/4/2020,203
italy,21/4/2020,216
italy,22/4/2020,222
italy,23/4/2020,224
italy,24/4/2020,225
italy,25/4/2020,230
italy,26/4/2020,230
italy,27/4/2020,230
italy,28/4/2020,230
italy,29/4/2020,230
italy,30/4/2020,230
italy,1/5/2020,230
italy,2/5/2020,230
italy,3/5/2020,230
italy,4/5/2020,217
italy,5/5/2020,217
italy,6/5/2020,217
italy,7/5/2020,240
italy,8/5/2020,233
italy,9/5/2020,233
italy,10/5/2020,233
italy,11/5/2020,248
italy,12/5/2020,248
italy,13/5/2020,248
italy,14/5/2020,251
italy,15/5/2020,251
italy,16/5/2020,260
italy,17/5/2020,260
italy,18/5/2020,260
italy,19/5/2020,263
italy,20/5/2020,263
italy,21/5/2020,263
italy,22/5/2020,263
italy,23/5/2020,266
italy,24/5/2020,266
italy,25/5/2020,266
italy,26/5/2020,271
italy,27/5/2020,271
italy,28/5/2020,271
italy,29/5/2020,278
italy,30/5/2020,278
italy,31/5/2020,278
italy,1/6/2020,278
italy,2/6/2020,278
italy,3/6/2020,278
italy,4/6/2020,294
italy,5/6/2020,294
italy,6/6/2020,307
